 70. MaritalStatus=Married NumCompaniesWorked=0_3 OverTime=No 337 ==> Attrition=No 311    conf:(0.92)
 71. MaritalStatus=Married OverTime=No PerformanceRating=3 YearsSinceLastPromotion=0_5 337 ==> Attrition=No 311    conf:(0.92)
 72. BusinessTravel=Travel_Rarely OverTime=No PerformanceRating=3 WorkLifeBalance=3 YearsSinceLastPromotion=0_5 337 ==> Attrition=No 311    conf:(0.92)
 73. Department=Research & Development DistanceFromHome=1_10 OverTime=No 490 ==> Attrition=No 452    conf:(0.92)
 74. MonthlyIncome=min_7339 NumCompaniesWorked=0_3 OverTime=No WorkLifeBalance=3 333 ==> Attrition=No 307    conf:(0.92)
 75. ï»¿Age=33_46 NumCompaniesWorked=0_3 PerformanceRating=3 397 ==> Attrition=No 366    conf:(0.92)
 76. DistanceFromHome=1_10 MonthlyIncome=min_7339 OverTime=No WorkLifeBalance=3 320 ==> Attrition=No 295    conf:(0.92)
 77. MaritalStatus=Married OverTime=No YearsAtCompany=0_13 422 ==> Attrition=No 389    conf:(0.92)
 78. BusinessTravel=Travel_Rarely Department=Research & Development OverTime=No PerformanceRating=3 422 ==> Attrition=No 389    conf:(0.92)
 79. Department=Research & Development DistanceFromHome=1_10 OverTime=No PerformanceRating=3 409 ==> Attrition=No 377    conf:(0.92)
 80. BusinessTravel=Travel_Rarely Department=Research & Development OverTime=No 495 ==> Attrition=No 456    conf:(0.92)
 81. JobInvolvement=3 OverTime=No WorkLifeBalance=3 YearsAtCompany=0_13 330 ==> Attrition=No 304    conf:(0.92)
 82. BusinessTravel=Travel_Rarely Department=Research & Development OverTime=No PerformanceRating=3 YearsAtCompany=0_13 366 ==> Attrition=No 337    conf:(0.92)
 83. BusinessTravel=Travel_Rarely Department=Research & Development OverTime=No YearsSinceLastPromotion=0_5 429 ==> Attrition=No 395    conf:(0.92)
 84. JobLevel=2 NumCompaniesWorked=0_3 YearsAtCompany=0_13 328 ==> Attrition=No 302    conf:(0.92)
 85. DistanceFromHome=1_10 StockOptionLevel=1 416 ==> Attrition=No 383    conf:(0.92)
 86. BusinessTravel=Travel_Rarely OverTime=No PerformanceRating=3 WorkLifeBalance=3 390 ==> Attrition=No 359    conf:(0.92)
 87. Department=Research & Development NumCompaniesWorked=0_3 OverTime=No 475 ==> Attrition=No 437    conf:(0.92)
 88. DistanceFromHome=1_10 OverTime=No WorkLifeBalance=3 450 ==> Attrition=No 414    conf:(0.92)
 89. Department=Research & Development DistanceFromHome=1_10 OverTime=No PerformanceRating=3 YearsSinceLastPromotion=0_5 350 ==> Attrition=No 322    conf:(0.92)
 90. BusinessTravel=Travel_Rarely StockOptionLevel=1 YearsAtCompany=0_13 362 ==> Attrition=No 333    conf:(0.92)
 91. BusinessTravel=Travel_Rarely Department=Research & Development OverTime=No YearsAtCompany=0_13 435 ==> Attrition=No 400    conf:(0.92)
 92. Department=Research & Development DistanceFromHome=1_10 OverTime=No YearsSinceLastPromotion=0_5 422 ==> Attrition=No 388    conf:(0.92)
 93. ï»¿Age=33_46 Department=Research & Development PerformanceRating=3 397 ==> Attrition=No 365    conf:(0.92)
 94. BusinessTravel=Travel_Rarely Department=Research & Development OverTime=No PerformanceRating=3 YearsAtCompany=0_13 YearsSinceLastPromotion=0_5 334 ==> Attrition=No 307    conf:(0.92)
